College Name,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number
"Government College of Engineering, Amravati","VMV Road, Near Kathora Naka,  Amravati",Amravati,www.gcoea.ac.in,principal@gcoea.ac.in,2531930,P. P. Bhatkar,2531929
"Government Engineering College, Yavatmal","Post Box N. 24, Dhamangaon Road, Yavatmal ",Yavatmal,www.gpyavatmal.edu.in,office.gpyavatmal@dtemaharashtra.gov.in,7232238,Mahejabin M. Mujawar,7232243
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,www.ssgmce.org,principal@ssgmce.ac.in,252216,PROF. A.V. PATIL,8669638081
"Prof. Ram Meghe Institute of Technology & Research, Amravati","Anjangaon Bari Road, Badnera,  Amravati",Amravati,www.mitra.ac.in,principal@mitra.ac.in,2681246,Mr. R. V. Adwanikar,2681246
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati","Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",Amravati,www.sipnaengg.ac.in,sipnaoffice@gmail.com,2522343,Shyamsundar Bhojraj Gupta,2522342
"Shri Shivaji Education Society's College of Engineering and Technology, Akola","Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",Akola,www.coeta.ac.in,principalcoeta@gmail.com,2456688,Mr. N. B. Gawande,2259069
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad","Kalra Road, Pusad  Dist Yavatmal ",Yavatmal,www.bncoepusad.ac.in,principal@bncoepusad.ac.in,245229,---,245229
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali","Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana ",Buldhana,www.aecc.ac.in,annprincipal55@gmail.com,242580,Prof. Vijay D.Gurudasani,242063
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal","MIDC, Lohara, Amaravati Road, Yavatmal",Yavatmal,www.jdiet.ac.in,jdiet_yml@bsnl.in,7447797963,Avinash Navghare,7447797962
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati","Hanuman Vyayam Nagar, H.V.P.M. Campus, Amravati",Amravati,www.hvpmcoet.in,principal@hvpmcoet.in,2563422,Mr. S.V.Dhole,2563422
"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal","Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",Yavatmal,www.dbncoet.ac.in,dbncoetytl@gmail.com,246166,Prof. Ravi V. Nadimpalli,246162
"G.H. Raisoni college of Engineering & Management, Amravati","Anjangaon, Bari Road, Amravati",Amravati,ghrcema.raisoni.net,vijay.rathod@raisoni.net,2385429,Dr. Anand Deshpande,2385432
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana","Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana ",Buldhana,www.rsce.ac.in,rsc_engg@rediffmail.com,242080,Adv. Ms. Kirti Sawale,287167
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal","Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",Yavatmal,www.jcoet.org,principal@jcoet.org,244226,Hemant M Baradkar,244226
"Prof Ram Meghe College of Engineering  and Management, Badnera","New Express Highway, Badnera Dist. Amravati",Amravati,www.prmceam.ac.in,principal@prmceam.ac.in,2578385,Mr. Sagar J Chandak,2580373
"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon","Knowledge Hub, Anjansingi Road, Dhamangaon RlY. Station, Amravati",Amravati,www.descoet.org,desdcoet@rediffmail.com,237335,Prof. Rajkumar Yadav,237335
"P. R. Pote Patil Institute of Engineering & Research, At  Kathora, Amravati ","Kathora Road, Pote Estate, Mu. Kathora Ta. Dist Amravati",Amravati,www.prppier.ac.in,prpatilengineering@gmail.com,2970111,Kishor Deshmukh,2970408
"Sanmati Engineering College, Sawargaon Barde, Washim","Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim ",Washim,www.sanmati.in,engineering@sanmati.in,233090,Vikas Joshi,234302
"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana","Malkapur, Dist. Buldhana",Buldhana,www.coemalkapur.ac.in,coemalkapur@rediffmail.com,224943,Mr. Ramakant Rane,226700
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.","Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,www.mauligroup.org,maulicoet@gmail.com,7722027506,Mr. S. S. Badhe,7722027506
"Harikisan Maloo Institute Of Management & Technology, Amravati","Opp. Deshmukh Lawns, Shegaaon Rahatgaon Road, Amravati. ",Amravati,www.maloogroup.org,hcminstmngtech@gmail.com,90968111,Dr. Ashish R. maloo,2970119
"Pratap Institute of Management & Technology, Washim.","Gat No. 89 & 90, Mauza Walki, Risod Road, Washim",Washim,www.pimtwashim.org,pimt.washim@gmail.com,288919,Shriram Wamanrao Khope,288919
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ","Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",Buldhana,www.stc.org.in,admn.stc@gmail.com,220333,Prof. Umesh Kute,220222
"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302","Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",Akola,www.manavengineering.ac.in,principal@manavengineering.ac.in,238406,Santosh Kale,238406
"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur","Sr.No.32/4 , Mauja Jambla, Anjangaon Road, Paratwada Tal. Achalpur Dist. Amravati",Amravati,www.dbdcoe.org,drdbdod@rediffmail.com,9970931278,Jayashree R. Talokar,225503
"Government College of Engineering,  Aurangabad","Station Road, Osmanpura,  Aurangabad",Aurangabad,www.geca.ac.in,principalgeca@yahoo.com,2366111,Rasal Shivaji Bhagwan,2366111
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded","Vishnupuri, Nanded",Nanded,www.sggs.ac.in,director@sggs.ac.in,229234,Mr. S. M. Nilangekar,229234
"University Department of Chemical Technology, Aurangabad","Dr. Babasaheb Ambedkar Marathwada University Campus, Aurangabad",Aurangabad,www.bamu.net,udctaurangabad@yahoo.co.in,2403307,Dr. Ganesh R. Manza,2403308
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad","Gut No. 258 (P), Satara Tanda, Tal & Dist. Aurangabad",Aurangabad,www.syp.ac.in,sycet@yahoo.com,6608702,N.S.Saraf ,6608701
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","N.H. No. 211,Beed bypass Road, Satara, Aurangabad",Aurangabad,www.mit.asia,spbhosle2001@gmail.com,2375222,Prof.Makarand Suresh Vaishnav,2375222
"Deogiri Institute of Engineering and Management Studies, Aurangabad","Deogiri College Campus, Railway Station Road, Aurangabad",Aurangabad,www.dietms.org,shiurkar@gmail.com,2367567,G. N.Tambe ,2367575
"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded","Yashwant College Campus, VIP Road Nanded,(MS) 431602",Nanded,www.ssbesitm.org,ssbesitm@yahoo.com,253471,S.B.HAMBARDE,254850
"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.","C/o. Dnyanopasak College of  Arts, Commeres  & Science, Near Zilla Parishad, Jintur Road, Parbhani  431401",Parbhani,www.dsmiitm.com,gopal.hoge@gmail.com,293044,sandip bhagwanrao panchange,293044
"S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement ,Udgir","Avalkonda Road, Udgir, Dist. Latur.   413517",Latur,www.svspm.edu.in,svitm934@gmail.com,253970,Datta Gharge,253970
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad","P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway ,Aurangabad",Aurangabad,www.mit.asia,principal.mite@mit.asia,2375111,SHRI. SURENDRA R. PATIL,2375375
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.","Near Airport,Hingoli Road, Nanded",Nanded,www.mgmcen.ac.in,mgmcen@mgmcen.ac.in,224087,Mrs.  Amruta A. Sarsar ,222999
"M.S. Bidve Engineering College, Latur","P.O. Box No. 112, Barshi Road, Latur",Latur,www.msbecl.ac.in,principal@msbecl.ac.in,221846,MRS. BAWAGE V.V.,221255
"Shree Tuljabhavani College of Engineering, Tuljapur","Naldurg Road, Tuljapur, Dist. Osmanabad",Osmanabad,www.stbcet.org.in,stbcet@gmail.com,243603,Ms. S.T. Koli,243603
"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad","Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus, N-6, CIDCO",Aurangabad,www.jnec.org,jnec@jnec.ac.in,2481434,Mrs. Aishwarya D. Joshi ,2482893
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai","Ambejogai, Beed",Beed,www.coea.ac.in,khadakbhavibi@gmail.com,2488882,NOT FILLED,247262
